date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:16:31	468/468	---M--	200	added ('OK')	text/plain	date:Tue,%2008%20Jul%202025%2004:16:31%20GMT	https://www.ffu-cleanroom.com/robots.txt		(from )
11:16:32	147514/147514	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Jul%202025%2004:16:31%20GMT	https://www.ffu-cleanroom.com/	C:/Users/tungb/Downloads/E-commerce%20Industrial/E-commerce%20Industrial/www.ffu-cleanroom.com/index.html	(from )
11:16:32	203095/203095	---MCZ	200	added ('OK')	text/css	etag:W/%22685901da-31957%22	https://www.ffu-cleanroom.com/photo/ffu-cleanroom/sitetpl/style/common.css?ver=1750663640	C:/Users/tungb/Downloads/E-commerce%20Industrial/E-commerce%20Industrial/www.ffu-cleanroom.com/photo/ffu-cleanroom/sitetpl/style/commondb89.css	(from https://www.ffu-cleanroom.com/)
11:16:32	7317/7317	---MCZ	200	added ('OK')	text/css	etag:W/%2266e2904a-1c95%22	https://www.ffu-cleanroom.com/js/guidefirstcommon.css	C:/Users/tungb/Downloads/E-commerce%20Industrial/E-commerce%20Industrial/www.ffu-cleanroom.com/js/guidefirstcommon.css	(from https://www.ffu-cleanroom.com/)
11:16:32	6253/6253	---M--	200	added ('OK')	image/png	etag:%226541b9cb-186d%22	https://www.ffu-cleanroom.com/images/cta_images/bg_s.png	C:/Users/tungb/Downloads/E-commerce%20Industrial/E-commerce%20Industrial/www.ffu-cleanroom.com/images/cta_images/bg_s.png	(from https://www.ffu-cleanroom.com/)
11:16:33	3868/3868	---M--	200	added ('OK')	image/png	etag:%226541b9cb-f1c%22	https://www.ffu-cleanroom.com/images/cta_images/sprite.png	C:/Users/tungb/Downloads/E-commerce%20Industrial/E-commerce%20Industrial/www.ffu-cleanroom.com/images/cta_images/sprite.png	(from https://www.ffu-cleanroom.com/)
11:16:33	10476/10476	---M--	200	added ('OK')	image/png	etag:%226541b9cb-28ec%22	https://www.ffu-cleanroom.com/images/cta_images/bg_l.png	C:/Users/tungb/Downloads/E-commerce%20Industrial/E-commerce%20Industrial/www.ffu-cleanroom.com/images/cta_images/bg_l.png	(from https://www.ffu-cleanroom.com/)
11:16:33	5544/5544	---M--	200	added ('OK')	image/png	etag:%226541b9cb-15a8%22	https://www.ffu-cleanroom.com/images/cta_images/cta_contact_now.png	C:/Users/tungb/Downloads/E-commerce%20Industrial/E-commerce%20Industrial/www.ffu-cleanroom.com/images/cta_images/cta_contact_now.png	(from https://www.ffu-cleanroom.com/)
11:16:33	9193/9193	---M--	200	added ('OK')	image/svg+xml	etag:%22655c60af-23e9%22	https://www.ffu-cleanroom.com/images/imicon/im.svg	C:/Users/tungb/Downloads/E-commerce%20Industrial/E-commerce%20Industrial/www.ffu-cleanroom.com/images/imicon/im.svg	(from https://www.ffu-cleanroom.com/)
11:16:33	8588/8588	---M--	200	added ('OK')	image/png	etag:%22655c60af-218c%22	https://www.ffu-cleanroom.com/images/imicon/wa.png	C:/Users/tungb/Downloads/E-commerce%20Industrial/E-commerce%20Industrial/www.ffu-cleanroom.com/images/imicon/wa.png	(from https://www.ffu-cleanroom.com/)
11:16:34	975/975	---M--	200	added ('OK')	image/svg+xml	etag:%2265600166-3cf%22	https://www.ffu-cleanroom.com/images/imicon/allchat.svg	C:/Users/tungb/Downloads/E-commerce%20Industrial/E-commerce%20Industrial/www.ffu-cleanroom.com/images/imicon/allchat.svg	(from https://www.ffu-cleanroom.com/)
11:16:34	10362/10362	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2266e2904b-287a%22	https://www.ffu-cleanroom.com/js/guidefirstcommon.js	C:/Users/tungb/Downloads/E-commerce%20Industrial/E-commerce%20Industrial/www.ffu-cleanroom.com/js/guidefirstcommon.js	(from https://www.ffu-cleanroom.com/)
11:16:34	38/38	---M--	201	error ('Created')	text/plain	date:Tue,%2008%20Jul%202025%2004:16:34%20GMT	https://www.ffu-cleanroom.com/vod/view_count/report	C:/Users/tungb/Downloads/E-commerce%20Industrial/E-commerce%20Industrial/www.ffu-cleanroom.com/vod/view_count/report	(from https://www.ffu-cleanroom.com/)
11:16:34	3576/3576	---M--	200	added ('OK')	image/gif	etag:%2267e6745c-df8%22	https://www.ffu-cleanroom.com/logo.gif	C:/Users/tungb/Downloads/E-commerce%20Industrial/E-commerce%20Industrial/www.ffu-cleanroom.com/logo.gif	(from https://www.ffu-cleanroom.com/)
11:16:35	65101/65101	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Jul%202025%2004:16:35%20GMT	https://www.ffu-cleanroom.com/contactnow.html	C:/Users/tungb/Downloads/E-commerce%20Industrial/E-commerce%20Industrial/www.ffu-cleanroom.com/contactnow.html	(from https://www.ffu-cleanroom.com/)
11:16:35	41866/41866	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Jul%202025%2004:16:35%20GMT	https://www.ffu-cleanroom.com/contactsave.html	C:/Users/tungb/Downloads/E-commerce%20Industrial/E-commerce%20Industrial/www.ffu-cleanroom.com/contactsave.html	(from https://www.ffu-cleanroom.com/)
11:16:36	31116/31116	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Jul%202025%2004:16:35%20GMT	https://www.ffu-cleanroom.com/updateinquiry.html	C:/Users/tungb/Downloads/E-commerce%20Industrial/E-commerce%20Industrial/www.ffu-cleanroom.com/updateinquiry.html	(from https://www.ffu-cleanroom.com/)
11:16:36	1336/1336	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jul%202025%2004:16:36%20GMT	https://www.ffu-cleanroom.com/POST	C:/Users/tungb/Downloads/E-commerce%20Industrial/E-commerce%20Industrial/www.ffu-cleanroom.com/POST	(from https://www.ffu-cleanroom.com/)
11:16:36	382/382	---M--	200	added ('OK')	image/png	etag:%226541b9cc-17e%22	https://www.ffu-cleanroom.com/images/close.png	C:/Users/tungb/Downloads/E-commerce%20Industrial/E-commerce%20Industrial/www.ffu-cleanroom.com/images/close.png	(from https://www.ffu-cleanroom.com/)
11:16:36	771/771	---M--	200	added ('OK')	image/png	etag:%226541b9cb-303%22	https://www.ffu-cleanroom.com/images/error.png	C:/Users/tungb/Downloads/E-commerce%20Industrial/E-commerce%20Industrial/www.ffu-cleanroom.com/images/error.png	(from https://www.ffu-cleanroom.com/)
11:16:37	19984/19984	---M--	200	added ('OK')	image/png	etag:%2268539df4-4e10%22	https://www.ffu-cleanroom.com/images/css-sprite.png	C:/Users/tungb/Downloads/E-commerce%20Industrial/E-commerce%20Industrial/www.ffu-cleanroom.com/images/css-sprite.png	(from https://www.ffu-cleanroom.com/)
11:16:37	130912/130912	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Jul%202025%2004:16:37%20GMT	https://www.ffu-cleanroom.com/products.html	C:/Users/tungb/Downloads/E-commerce%20Industrial/E-commerce%20Industrial/www.ffu-cleanroom.com/products.html	(from https://www.ffu-cleanroom.com/)
11:16:38	132434/132434	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Jul%202025%2004:16:37%20GMT	https://www.ffu-cleanroom.com/supplier-4412022-ffu-cleanroom	C:/Users/tungb/Downloads/E-commerce%20Industrial/E-commerce%20Industrial/www.ffu-cleanroom.com/supplier-4412022-ffu-cleanroom.html	(from https://www.ffu-cleanroom.com/)
11:16:38	130504/130504	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Jul%202025%2004:16:37%20GMT	https://www.ffu-cleanroom.com/supplier-4412023-air-shower-room	C:/Users/tungb/Downloads/E-commerce%20Industrial/E-commerce%20Industrial/www.ffu-cleanroom.com/supplier-4412023-air-shower-room.html	(from https://www.ffu-cleanroom.com/)
11:16:38	131377/131377	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Jul%202025%2004:16:38%20GMT	https://www.ffu-cleanroom.com/supplier-4412030-clean-room-pass-box	C:/Users/tungb/Downloads/E-commerce%20Industrial/E-commerce%20Industrial/www.ffu-cleanroom.com/supplier-4412030-clean-room-pass-box.html	(from https://www.ffu-cleanroom.com/)
11:16:39	127091/127091	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Jul%202025%2004:16:38%20GMT	https://www.ffu-cleanroom.com/supplier-4412024-modular-clean-room	C:/Users/tungb/Downloads/E-commerce%20Industrial/E-commerce%20Industrial/www.ffu-cleanroom.com/supplier-4412024-modular-clean-room.html	(from https://www.ffu-cleanroom.com/)
11:16:39	132026/132026	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Jul%202025%2004:16:39%20GMT	https://www.ffu-cleanroom.com/supplier-4412032-hepa-filter	C:/Users/tungb/Downloads/E-commerce%20Industrial/E-commerce%20Industrial/www.ffu-cleanroom.com/supplier-4412032-hepa-filter.html	(from https://www.ffu-cleanroom.com/)
11:16:39	130108/130108	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Jul%202025%2004:16:39%20GMT	https://www.ffu-cleanroom.com/supplier-4412040-room-air-purifier	C:/Users/tungb/Downloads/E-commerce%20Industrial/E-commerce%20Industrial/www.ffu-cleanroom.com/supplier-4412040-room-air-purifier.html	(from https://www.ffu-cleanroom.com/)
